,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000061024,6.214711748633167,-0.18576326321894274,0.9876751655210007,-0.18808133453568435,0.8508128928580518,0.9977348574443271
ENSMUSG00000025911,8.893039712726873,0.4141652841120884,0.8263806136707078,0.5011798162500495,0.6162445778408006,0.9977348574443271
ENSMUSG00000079671,0.24411959185475268,-1.496023787828331,5.214514526974321,-0.28689608209728895,0.7741918904814951,0.9977348574443271
ENSMUSG00000081441,0.0,,,,,
ENSMUSG00000067879,63.12933041593428,-0.0821069232635271,0.3729073153320635,-0.22018051104847108,0.8257305741341794,0.9977348574443271
ENSMUSG00000099827,0.0,,,,,
ENSMUSG00000025912,0.0,,,,,
ENSMUSG00000045210,7.787900234987101,0.8936800967273076,0.9745381902903655,0.9170293228437091,0.3591272747323303,0.9977348574443271
ENSMUSG00000097893,0.0,,,,,
ENSMUSG00000025915,3.680054740371876,0.5272554997960743,1.2659158203593905,0.4165012327963385,0.6770432654684729,0.9977348574443271
ENSMUSG00000046334,0.0,,,,,
ENSMUSG00000088916,0.0,,,,,
ENSMUSG00000046101,0.7296264157905721,2.966045385169191,3.651735050058862,0.8122290759077336,0.41666019851394875,0.9977348574443271
ENSMUSG00000098234,5.454711744898889,-0.3211615179500956,1.120225195441935,-0.28669371056539716,0.7743468537736895,0.9977348574443271
ENSMUSG00000093178,0.0,,,,,
ENSMUSG00000099032,0.0,,,,,
ENSMUSG00000104025,0.0,,,,,
ENSMUSG00000025916,0.0,,,,,
ENSMUSG00000087199,0.0,,,,,
ENSMUSG00000095780,0.0,,,,,
ENSMUSG00000025917,34.18753500036112,-0.10965680298985202,0.453952613388981,-0.24156002136700938,0.8091211030620629,0.9977348574443271
ENSMUSG00000056763,8.159497650864237,0.36540471396110674,0.865039917898362,0.42241370184264726,0.672723078495339,0.9977348574443271
ENSMUSG00000102356,0.0,,,,,
ENSMUSG00000067851,19.92539888841248,0.4725208449217169,0.590300323372979,0.8004753279173733,0.4234354525671613,0.9977348574443271
ENSMUSG00000088153,0.0,,,,,
ENSMUSG00000102556,0.0,,,,,
ENSMUSG00000042501,0.4873283971182767,-0.051020316426774986,3.5391662301557925,-0.014415914118995505,0.9884981630785424,0.9977348574443271
ENSMUSG00000103810,0.0,,,,,
ENSMUSG00000083422,0.0,,,,,
ENSMUSG00000094979,0.0,,,,,
ENSMUSG00000081417,0.0,,,,,
ENSMUSG00000103448,0.0,,,,,
ENSMUSG00000100212,0.0,,,,,
ENSMUSG00000100648,0.0,,,,,
ENSMUSG00000088585,0.0,,,,,
ENSMUSG00000048960,6.694507600028573,0.45187818043011074,1.0048978139887568,0.44967575224038303,0.652944257749354,0.9977348574443271
ENSMUSG00000077318,0.0,,,,,
ENSMUSG00000101827,0.0,,,,,
ENSMUSG00000103494,0.0,,,,,
ENSMUSG00000057715,9.156397994479116,0.31899307623797424,0.8158750430978672,0.3909827600888018,0.6958099790687259,0.9977348574443271
ENSMUSG00000103825,0.0,,,,,
ENSMUSG00000099845,0.0,,,,,
ENSMUSG00000103561,0.0,,,,,
ENSMUSG00000101610,0.0,,,,,
ENSMUSG00000093864,0.0,,,,,
ENSMUSG00000098555,0.0,,,,,
ENSMUSG00000097628,0.24320880526352404,1.3798731450381663,5.218856980743732,0.26440141014201973,0.7914706250429541,0.9977348574443271
ENSMUSG00000098163,0.0,,,,,
ENSMUSG00000097171,0.0,,,,,
ENSMUSG00000101314,0.0,,,,,
ENSMUSG00000016918,5.846783725835051,-1.0315570958987963,2.6933880177884766,-0.3829960960269665,0.7017226587139274,0.9977348574443271
ENSMUSG00000025938,0.48040789156537966,2.36614065345832,4.119912458167862,0.5743181869719994,0.5657525042707601,0.9977348574443271
ENSMUSG00000104518,0.0,,,,,
ENSMUSG00000069620,0.0,,,,,
ENSMUSG00000099498,0.0,,,,,
ENSMUSG00000042414,0.0,,,,,
ENSMUSG00000005886,11.530224978007592,0.13205943974255385,0.755705018880219,0.17474998371485684,0.8612760906812916,0.9977348574443271
ENSMUSG00000103506,0.0,,,,,
ENSMUSG00000103495,0.0,,,,,
ENSMUSG00000099183,0.0,,,,,
ENSMUSG00000102639,0.0,,,,,
ENSMUSG00000104170,0.0,,,,,
ENSMUSG00000087782,0.0,,,,,
ENSMUSG00000103085,0.0,,,,,
ENSMUSG00000102664,0.0,,,,,
ENSMUSG00000101476,0.0,,,,,
ENSMUSG00000101171,0.0,,,,,
ENSMUSG00000025935,6.484378495768334,-0.08482970555830936,0.9808284746310092,-0.08648780877841314,0.9310786469429615,0.9977348574443271
