,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000067879,0.6490976434067662,-0.24561124378783872,2.923220263785565,-0.08402077901231178,0.9330399109196804,
ENSMUSG00000099827,0.0,,,,,
ENSMUSG00000025912,0.6825718938313969,-0.19628797103535495,2.9512149486017876,-0.06651090295146116,0.9469710776317294,
ENSMUSG00000045210,1.8882969987487626,-2.3563825717864164,1.9192574247574428,-1.2277574344068087,0.2195380388245577,
ENSMUSG00000097893,0.0,,,,,
ENSMUSG00000025915,0.9446418962202587,0.7196701064511541,2.979790906200996,0.2415169819310168,0.8091544563059263,
ENSMUSG00000046334,1.4839113451796493,0.7815709307696549,2.061721737481101,0.37908652586868274,0.7046236116934695,
ENSMUSG00000088916,0.0,,,,,
ENSMUSG00000046101,0.0,,,,,
ENSMUSG00000098234,1.1415185000522885,2.197495949009253,2.166559466647545,1.0142790829598496,0.31044960203849237,
ENSMUSG00000093178,124.38228311195353,0.4836219680630563,0.8729300903777961,0.5540214198066528,0.579564186642675,0.8620356206048589
ENSMUSG00000099032,0.0,,,,,
ENSMUSG00000104025,0.0,,,,,
ENSMUSG00000025916,0.0,,,,,
ENSMUSG00000087199,0.0,,,,,
ENSMUSG00000095780,0.0,,,,,
ENSMUSG00000025917,4.370424399108694,0.01735016162257315,1.0845266792620287,0.015997911304846044,0.9872360580197724,0.9984055170703611
ENSMUSG00000056763,4.757452040126599,-0.19226805978867875,1.1819093405686918,-0.1626758103935166,0.8707736937693024,0.9676001506980504
ENSMUSG00000102356,0.0,,,,,
ENSMUSG00000067851,4.827608517064048,0.43615689935574053,1.2647272743099551,0.34486241280256336,0.7301978092858229,0.9232055620089832
ENSMUSG00000088153,0.1767766952966369,-0.7405060970833712,5.350725015697783,-0.13839359991606717,0.8899293548737048,
ENSMUSG00000102556,0.0,,,,,
ENSMUSG00000042501,0.0,,,,,
ENSMUSG00000103810,0.0,,,,,
ENSMUSG00000083422,0.0,,,,,
ENSMUSG00000094979,0.0,,,,,
ENSMUSG00000081417,0.0,,,,,
ENSMUSG00000103448,0.0,,,,,
ENSMUSG00000100212,0.3290185032381231,2.154950214460369,5.337150365837652,0.4037641937641296,0.6863861291714062,
ENSMUSG00000100648,0.0,,,,,
ENSMUSG00000088585,0.0,,,,,
ENSMUSG00000048960,2.2173155019868855,-1.3469021933839442,1.4906946184046639,-0.9035399851549704,0.3662393767663982,
ENSMUSG00000077318,0.0,,,,,
ENSMUSG00000101827,0.0,,,,,
ENSMUSG00000103494,0.0,,,,,
ENSMUSG00000057715,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000103825,0.0,,,,,
ENSMUSG00000099845,0.0,,,,,
ENSMUSG00000103561,0.0,,,,,
ENSMUSG00000101610,0.0,,,,,
ENSMUSG00000093864,0.0,,,,,
ENSMUSG00000098555,0.0,,,,,
ENSMUSG00000097628,0.0,,,,,
ENSMUSG00000098163,0.0,,,,,
ENSMUSG00000097171,0.0,,,,,
ENSMUSG00000101314,0.0,,,,,
ENSMUSG00000016918,3.986844943218793,-2.4294642525757286,1.3985386625937821,-1.7371448623879682,0.08236160437819293,0.41771799665870435
ENSMUSG00000025938,2.5820294380460727,-1.7048660025087623,1.698395338911048,-1.003809868909475,0.31547026660325805,
ENSMUSG00000104518,0.0,,,,,
ENSMUSG00000069620,0.0,,,,,
ENSMUSG00000099498,0.0,,,,,
ENSMUSG00000042414,0.0,,,,,
ENSMUSG00000005886,3.9360126802429534,-1.0790403947750464,1.3685466202807814,-0.7884571696605135,0.4304293418738361,0.7906838688031643
ENSMUSG00000103506,0.0,,,,,
ENSMUSG00000103495,0.29554425281349245,2.0767874666430193,5.347589154657216,0.3883595778546945,0.697749953451315,
ENSMUSG00000099183,0.0,,,,,
ENSMUSG00000102639,0.0,,,,,
ENSMUSG00000104170,0.0,,,,,
ENSMUSG00000087782,0.0,,,,,
ENSMUSG00000103085,0.6490976434067662,-0.24561124378783872,2.923220263785565,-0.08402077901231178,0.9330399109196804,
ENSMUSG00000102664,0.1767766952966369,-0.7405060970833712,5.350725015697783,-0.13839359991606717,0.8899293548737048,
ENSMUSG00000101476,0.0,,,,,
ENSMUSG00000101171,0.0,,,,,
ENSMUSG00000025935,1.7053228363668298,0.29739662735629685,1.5772198716922319,0.18855749454717044,0.8504396495551403,
ENSMUSG00000025937,0.6580370064762462,3.1697383508745878,5.241473531148963,0.6047418406365132,0.5453505426748098,
ENSMUSG00000102982,0.0,,,,,
ENSMUSG00000067813,0.0,,,,,
ENSMUSG00000077368,0.0,,,,,
ENSMUSG00000097711,0.0,,,,,
ENSMUSG00000102166,0.0,,,,,
ENSMUSG00000089358,0.0,,,,,
ENSMUSG00000104209,0.0,,,,,
ENSMUSG00000025932,1.096883704161745,2.249914155323011,2.151044717211764,1.045963450838625,0.29557790730181754,
ENSMUSG00000095853,0.0,,,,,
ENSMUSG00000102588,0.0,,,,,
ENSMUSG00000054493,0.0,,,,,
ENSMUSG00000025930,0.5169557440006731,0.5804173100932428,2.9806656174739206,0.19472741480647524,0.8456063488110839,
ENSMUSG00000103492,0.0,,,,,
ENSMUSG00000081201,0.0,,,,,
ENSMUSG00000082193,0.0,,,,,
ENSMUSG00000032769,0.0,,,,,
ENSMUSG00000088159,0.0,,,,,
ENSMUSG00000073737,0.0,,,,,
ENSMUSG00000092083,1.831274654660736,2.038163053242679,3.2838434109495336,0.620663898420582,0.5348207874911732,
