"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000025907",3.24615967431012,0.643070446055923,1.62755534226479,0.395114334582978,0.692758510314454,NA
"ENSMUSG00000051285",2.64413982270049,0.517391273616571,1.69673798305443,0.304932923517852,0.760417239820683,NA
"ENSMUSG00000093178",123.178020576644,0.594480688994433,0.714484411077906,0.832041511021313,0.405385514013213,0.719220550607002
"ENSMUSG00000025917",4.29500137321682,0.120435697270109,1.39320353563129,0.0864451562100991,0.931112551787519,NA
"ENSMUSG00000056763",4.6723422714801,-0.0769834844774196,1.37528203129925,-0.0559765071639104,0.955360522377859,NA
"ENSMUSG00000067851",4.73350453050647,0.545959469848589,1.37584663214467,0.396817099444831,0.691502340275505,NA
"ENSMUSG00000048960",2.14492813452853,-1.25442891090167,1.94637767102653,-0.644494092577664,0.519255087110733,NA
"ENSMUSG00000016918",3.82095629582079,-2.334211285212,1.66730072312876,-1.39999416591853,0.161515065519144,NA
"ENSMUSG00000025938",2.47448546692167,-1.63729536674894,1.94481358990613,-0.841877789854383,0.399856363530852,NA
"ENSMUSG00000005886",3.8137152641234,-0.958071351322969,1.53861981009394,-0.622682318944322,0.533493303914025,NA
"ENSMUSG00000079658",2.41900714121007,-0.55801848799725,1.8816598240386,-0.296556519339175,0.766805110726717,NA
"ENSMUSG00000025927",2.27904057020097,-1.50635298456172,2.07257990783228,-0.72680092037427,0.467347919192026,NA
"ENSMUSG00000041859",2.82759292262569,-4.6127565812368,2.15853926806205,-2.13698061901749,0.0325995680096485,NA
"ENSMUSG00000082935",4.55053087065386,0.774051043367484,1.3633463125718,0.567758196306939,0.570199168976247,NA
"ENSMUSG00000041670",5.5793510629444,2.61512566318666,1.39692867910702,1.8720538151299,0.0611991586735312,0.25573435666982
"ENSMUSG00000065405",33618.4937094998,1.72407886362715,0.674264198645355,2.55697820986335,0.0105585831297266,0.0762391811278791
"ENSMUSG00000026158",3.04571416352304,1.50969580970385,1.67088898269163,0.903528496113422,0.366245471440292,NA
"ENSMUSG00000026153",3.46722490995081,-0.364784471445929,1.56701320131658,-0.232789660699376,0.815924741957713,NA
"ENSMUSG00000100131",14.5548431956268,0.696537728927605,0.940753777484732,0.740403860816716,0.459054976862818,0.762354371718475
"ENSMUSG00000067736",28.6828064036264,0.883417403268002,0.813591341929818,1.0858244891994,0.277556649620937,0.605531714913661
"ENSMUSG00000101939",386.686978146814,3.46399170973659,0.686193851302394,5.04812408791182,4.46169331970704e-07,1.90494906084883e-05
"ENSMUSG00000101111",47.6466568005154,0.98643912740526,0.722758714735531,1.36482495097443,0.172308074692974,0.473304977198604
"ENSMUSG00000100862",27.336020882612,0.89315461992012,0.807820294675399,1.1056352827568,0.268884411918002,0.597720315475647
"ENSMUSG00000102070",11.1842630757264,1.07230756731515,1.00946674260282,1.06225150573093,0.288121523150929,0.616904453937639
"ENSMUSG00000101249",2.57735301944178,0.651486531011379,1.76717789553748,0.368659280232358,0.712381703709436,NA
"ENSMUSG00000033569",5.40813960878296,6.29182762258144,1.91192559644577,3.29083288297297,0.000998912369034776,0.0123387666212849
"ENSMUSG00000095256",3.61072009765462,2.37012193384074,1.71021513347721,1.38586186465431,0.16578908746233,NA
"ENSMUSG00000048874",4.91141818721028,-1.09820661619007,1.36485267759034,-0.804633814492685,0.42103102303394,NA
"ENSMUSG00000004768",2.43747154944362,-0.691277724049828,1.79283096645351,-0.385578862137394,0.69980859048901,NA
