"","GeneID","Length","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000020932","ENSMUSG00000020932",4218,2.54472200757997,10.5783334747926,112.062025570249,3.46304833584048e-26,4.69139158056309e-22
"ENSMUSG00000032011","ENSMUSG00000032011",2995,2.33786305495454,11.4979426632113,86.0936923049091,1.71609341837928e-20,1.16239587693921e-16
"ENSMUSG00000036905","ENSMUSG00000036905",1088,2.1859232401944,7.91360477018994,59.177842908903,1.44046688905624e-14,6.50466831534828e-11
"ENSMUSG00000036887","ENSMUSG00000036887",1040,2.16495015472984,7.79981089616943,51.4650091874096,7.28846257015071e-13,2.46842006094579e-09
"ENSMUSG00000073418","ENSMUSG00000073418",5695,2.92880371614342,6.34155803755379,49.4976145832581,1.98613073372581e-12,5.3812226099567e-09
"ENSMUSG00000007891","ENSMUSG00000007891",2351,2.08914073516333,9.93643602183617,48.898496437687,2.69557305275055e-12,6.08615469093528e-09
"ENSMUSG00000036896","ENSMUSG00000036896",1931,1.97693749832054,7.78109362034418,47.9123697160184,4.45700775681989e-12,8.62558344023414e-09
"ENSMUSG00000023992","ENSMUSG00000023992",4946,3.55867240539934,6.34299795819079,47.2013456496355,6.40564524342434e-12,1.08471595140837e-08
"ENSMUSG00000021091","ENSMUSG00000021091",2064,2.47474950513482,6.88846482518275,45.9626290726981,1.2053041440023e-11,1.8142505820888e-08
"ENSMUSG00000028581","ENSMUSG00000028581",3788,1.83283676353884,7.17195236632715,34.7276941144725,3.79198660432183e-09,5.13700425287478e-06
"ENSMUSG00000069516","ENSMUSG00000069516",1316,2.23817965211185,6.54778515034386,31.5558859934772,1.93782108092538e-08,2.38651474393601e-05
"ENSMUSG00000027848","ENSMUSG00000027848",6161,2.45006345180206,6.10160337973069,30.6463282785316,3.09611947080596e-08,3.49526087258403e-05
"ENSMUSG00000016256","ENSMUSG00000016256",1441,2.05073897377843,6.63340637925978,29.21877443897,6.46497288862236e-08,6.73699905555132e-05
"ENSMUSG00000026701","ENSMUSG00000026701",4804,1.26548115887663,8.20040936745785,26.1470571787389,3.16378912360614e-07,0.000306141794696375
"ENSMUSG00000033880","ENSMUSG00000033880",2847,1.79822070940214,6.51587533860337,24.7078007834567,6.67136028920087e-07,0.000602512785585361
